====================================================================================================
ДАННЫЕ СОБСТВЕННЫХ МОД
====================================================================================================

    Поле (Э)     Mode1_Re     Mode1_Im     Mode2_Re     Mode2_Im      Rec+_Re      Rec+_Im      Rec-_Re      Rec-_Im
     2981.00     3.651013     0.032676     3.648472     0.074333     3.795121    -0.420535     3.612642    -0.063139
     2981.50     3.651313     0.032676     3.648614     0.073641     3.796478    -0.420703     3.612686    -0.062971
     2982.00     3.651534     0.032672     3.649066     0.071837     3.797833    -0.420869     3.612730    -0.062805
     2982.50     3.651534     0.030068     3.649373     0.070742     3.799188    -0.421035     3.612775    -0.062639
     2983.00     3.652122     0.031958     3.649771     0.069207     3.800542    -0.421200     3.612821    -0.062474
     2983.50     3.652287     0.031958     3.649868     0.068384     3.801896    -0.421364     3.612868    -0.062310
     2984.00     3.652287     0.020232     3.650044     0.068056     3.803248    -0.421527     3.612915    -0.062147
     2984.50     3.653392     0.019972     3.650074     0.067312     3.804600    -0.421689     3.612963    -0.061985
     2985.00     3.654171    -0.029827     3.650438     0.066128     3.805951    -0.421851     3.613012    -0.061823
     2985.50     3.654494    -0.030206     3.650745     0.065202     3.807302    -0.422011     3.613062    -0.061663
     2986.00     3.654570    -0.029827     3.651044     0.064342     3.808652    -0.422171     3.613112    -0.061503
     2986.50     3.654865     0.019972     3.651565     0.062888     3.810001    -0.422330     3.613163    -0.061345
     2987.00     3.654865     0.019972     3.651600     0.062836     3.811349    -0.422487     3.613214    -0.061187
     2987.50     3.656290     0.019972     3.652144     0.061636     3.812697    -0.422644     3.613266    -0.061030
     2988.00     3.656890    -0.029827     3.652359     0.060906     3.814045    -0.422801     3.613319    -0.060874
     2988.50     3.657079    -0.030512     3.653106     0.059354     3.815391    -0.422956     3.613372    -0.060718
     2989.00     3.657463    -0.030512     3.653173     0.059120     3.816737    -0.423110     3.613426    -0.060564
     2989.50     3.657501    -0.031041     3.653579     0.058287     3.818083    -0.423263     3.613481    -0.060411
     2990.00     3.657712    -0.030512     3.653734     0.058011     3.819427    -0.423416     3.613536    -0.060258
     2990.50     3.657830    -0.031041     3.654134     0.057111     3.820771    -0.423568     3.613592    -0.060106
     2991.00     3.658094    -0.030512     3.654635     0.056150     3.822115    -0.423719     3.613648    -0.059956
     2991.50     3.658241    -0.031041     3.654984     0.055300     3.823458    -0.423869     3.613705    -0.059806
     2992.00     3.658402    -0.031303     3.655178     0.055300     3.824801    -0.424018     3.613763    -0.059657
     2992.50     3.659003    -0.031041     3.655195     0.055300     3.826143    -0.424166     3.613821    -0.059508
     2993.00     3.659054    -0.031303     3.655345     0.055177     3.827484    -0.424313     3.613880    -0.059361
     2993.50     3.659188    -0.031041     3.655428     0.055024     3.828825    -0.424460     3.613939    -0.059214
     2994.00     3.659188     0.031383     3.655629     0.054852     3.830165    -0.424606     3.613998    -0.059069
     2994.50     3.659188    -0.031303     3.655812     0.054700     3.831505    -0.424750     3.614058    -0.058924
